section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
CE 7 RL 7th Sem,PEC-CS-A-703,CSE14,,
CE 7 RL 7th Sem,OEC-CS-701(IV),EL14,,
CE 7 RL 7th Sem,PEC-IT-I-703,CSE13,,
CE 7 RL 7th Sem,HSMC-03,MS22,,
,,,,
CE DS 7th Sem,PCC-DS-701,CSE27,,
CE DS 7th Sem,PEC-CS-D-701,CSE30,,
CE DS 7th Sem,PCC-DS-703,CSE17,,
CE DS 7th Sem,OEC-CS-701(IV)),EL05,,
CE DS 7th Sem,OEC-CS-702(IV),CSE19,,
CE DS 7th Sem,PCC-DS-704,CSE29,,
,,,,
IT 7TH Sem,PEC-IT-I-701,CSE21,,
IT 7TH Sem,PEC-CS-D-501,CSE17,,
IT 7TH Sem,PEC-CS-D-703,CSE31,,
IT 7TH Sem,OEC-CS-701(IV),EL04,,
IT 7TH Sem,PEC-CS-S-701(I),CSE26,,
IT 7TH Sem,ESU-203-V,ES07,,
,,,,
M.Tech 1CSE,MCS-18-101,CSE06,,
M.Tech 1CSE,MCS-18-102,CSE10,,
M.Tech 1CSE,MCN-18-101,CSE04,,
M.Tech 1CSE,MCS-18-112,CSE02,,
M.Tech 1CSE,RMI-101,CSE09,,
M.Tech 1CSE,AUD-01,CSE46,,
M.Tech 1CSE,MCS-18-104,CSE10,yes,CSE23
M.Tech 1CSE,MCN-18-101A,CSE04,yes,CSE13
,,,,
M.TECH 3CE,MCS-18-304,CSE03,,
M.TECH 3CE,OEC-106A,MECH06,,
M.TECH 3CE,AC-02,CSE01,,
,,,,
M.TECH 3CSE,MCS-18-304,CSE03,,
M.TECH 3CSE,OEC-106A,MECH06,,
M.TECH 3CSE,AC-02,CSE01,,
